Zoning Classification,Overall Material Quality,Overall House Condition,Roof Style,Fireplace Quality,Garage Year Built,Garage Area,Garage Quality,Year Sold,Actual SalePrice,Expected SalePrice
Low Density,6,5,Hip,Good,1960,528,Average,2010,215000,260514.298
High Density,5,6,Gable,NA,1961,730,Average,2010,105000,116950.774
Low Density,6,6,Hip,NA,1958,312,Average,2010,172000,185094.9768
Low Density,7,5,Hip,Average,1968,522,Average,2010,244000,296206.97
Low Density,5,5,Gable,Average,1997,482,Average,2010,189900,190754.9004
Low Density,6,6,Gable,Good,1998,470,Average,2010,195500,236407.551
Low Density,8,5,Gable,NA,2001,582,Average,2010,213500,237048.9552
Low Density,8,5,Gable,NA,1992,506,Average,2010,191500,202394.7598
Low Density,8,5,Gable,Average,1995,608,Average,2010,236500,252095.8949
Low Density,7,5,Gable,Average,1999,442,Average,2010,189000,201043.413
Low Density,6,5,Gable,Average,1993,440,Average,2010,175900,215975.5157
Low Density,6,7,Gable,NA,1992,420,Average,2010,185000,228908.4066
Low Density,6,5,Gable,Good,1998,393,Average,2010,180400,202740.2083
Low Density,7,5,Gable,Poor,1990,506,Average,2010,171500,213979.9562
Low Density,8,5,Gable,NA,1985,528,Average,2010,212000,219528.7178
Low Density,8,5,Hip,Good,2003,841,Average,2010,538000,608563.0422
Low Density,8,7,Gable,NA,1988,492,Average,2010,164000,193105.7894
Low Density,9,2,Hip,Excellent,2010,834,Average,2010,394432,478936.333
Low Density,4,5,Gable,NA,1951,400,Average,2010,141000,171513.1391
Low Density,6,6,Gable,Average,1978,500,Average,2010,210000,233465.6468
Low Density,6,6,Hip,Average,1977,546,Average,2010,190000,206855.5104
Low Density,7,6,Gable,Average,1974,528,Average,2010,170000,183411.6106
Village Residential,7,5,Gable,NA,2000,663,Average,2010,216000,250383.7963
Low Density,6,7,Gable,Average,1970,480,Average,2010,149000,152589.6157
Low Density,5,6,Gable,Fair,1971,500,Average,2010,149900,177148.3544
Low Density,5,6,Gable,Fair,1968,304,Average,2010,142000,163170.26
Low Density,4,5,Gable,NA,1970,525,Average,2010,126000,146314.5668
Low Density,4,5,Gable,Poor,,0,NA,2010,115000,128958.0261
High Density,7,5,Gable,Fair,1999,511,Average,2010,184000,204619.7719
Medium Density,6,5,Gable,NA,1971,264,Average,2010,96000,111811.0051
Medium Density,5,5,Gable,NA,1997,320,Average,2010,105500,126319.7674
Medium Density,6,5,Gable,NA,1971,264,Average,2010,88000,103712.8285
Low Density,6,5,Gable,Fair,1977,440,Average,2010,127500,132880.593
Low Density,6,6,Gable,Average,1975,440,Average,2010,149900,178887.6585
Low Density,7,6,Gable,NA,1975,308,Average,2010,120000,128140.3313
Low Density,6,5,Gable,Average,1978,440,Average,2010,146000,150046.8607
Low Density,9,5,Gable,Good,2009,751,Average,2010,376162,450669.5976
Low Density,8,5,Gable,Good,2008,772,Average,2010,306000,371487.4715
Low Density,9,5,Hip,Good,2010,606,Average,2010,395192,443955.6429
Low Density,8,5,Gable,NA,2009,868,Average,2010,290941,336682.981
Low Density,7,5,Gable,Good,2005,532,Average,2010,220000,264060.5662
Low Density,9,5,Hip,Good,2005,730,Average,2010,275000,331188.8256
Low Density,8,5,Hip,Good,2005,678,Average,2010,259000,265884.7713
Low Density,7,5,Gable,NA,2004,532,Average,2010,214000,230565.8119
Low Density,9,5,Hip,Good,2009,820,Average,2010,611657,697598.1489
Low Density,7,5,Gable,Good,2010,484,Average,2010,224000,249848.6731
Low Density,9,5,Hip,Good,2003,958,Average,2010,500000,613753.7821
Low Density,8,5,Gable,Excellent,2002,756,Average,2010,320000,371529.6919
Low Density,9,5,Hip,Good,2005,576,Average,2010,319900,321911.2851
Low Density,8,5,Gable,Good,2006,484,Average,2010,205000,251025.5243
Low Density,7,5,Gable,NA,2003,474,Average,2010,175500,180422.4407
Low Density,6,5,Gable,NA,2005,430,Average,2010,199500,200260.2924
Low Density,7,5,Gable,NA,2006,437,Average,2010,160000,163671.534
Low Density,8,5,Gable,Average,2004,430,Average,2010,192000,214984.1909
Low Density,7,5,Gable,Good,2004,400,Average,2010,184500,216556.4491
Low Density,6,5,Gable,Average,2002,440,Average,2010,216500,243846.8656
Low Density,7,5,Gable,Good,2004,433,Average,2010,185088,196839.1066
Low Density,7,5,Gable,Average,2000,400,Average,2010,180000,213865.2742
Low Density,7,5,Gable,Good,2001,434,Average,2010,222500,253220.11
Low Density,9,5,Gable,Average,1999,779,Average,2010,333168,335019.9389
Low Density,8,5,Hip,Average,1998,962,Average,2010,355000,421244.0154
Low Density,7,5,Hip,Average,1996,527,Average,2010,260400,289435.7205
Low Density,8,5,Gable,Average,1994,712,Average,2010,325000,348498.3786
Low Density,8,7,Gable,Good,1999,671,Average,2010,290000,315681.0824
Low Density,7,5,Gable,NA,1998,486,Average,2010,221000,250938.8396
